,precision,recall,f1-score,support
0,0.9375,1.0,0.967741935483871,30.0
1,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
2,1.0,0.9,0.9473684210526315,30.0
3,0.9375,1.0,0.967741935483871,30.0
4,1.0,0.9666666666666667,0.9830508474576272,30.0
5,1.0,1.0,1.0,30.0
6,0.967741935483871,1.0,0.9836065573770492,30.0
7,1.0,0.9666666666666667,0.9830508474576272,30.0
8,1.0,1.0,1.0,30.0
9,1.0,1.0,1.0,30.0
accuracy,0.9766666666666667,0.9766666666666667,0.9766666666666667,0.9766666666666667
macro avg,0.9776075268817206,0.9766666666666666,0.9765893877646011,300.0
weighted avg,0.9776075268817204,0.9766666666666667,0.976589387764601,300.0
