0,1,2,3,4,5,6,7,8,9,temperature,category
110.0,95.0,79.0,88.0,118.0,99.0,78.0,88.0,92.0,29.068883707497267,0.0,0
109.0,95.0,79.0,88.0,118.0,99.0,78.0,88.0,92.0,29.068883707497267,0.1,0
109.0,95.0,79.0,88.0,118.0,99.0,78.0,88.0,92.0,29.068883707497267,0.2,0
109.0,96.0,80.0,88.0,118.0,99.0,78.0,88.0,92.0,29.068883707497267,0.3,0
109.0,96.0,80.0,88.0,118.0,99.0,78.0,88.0,92.0,28.600699292150182,0.4,0
109.0,96.0,80.0,88.0,118.0,99.0,78.0,88.0,92.0,28.0178514522438,0.5,0
108.0,96.0,80.0,88.0,118.0,99.0,78.0,88.0,91.0,28.42534080710379,0.6,0
108.0,96.0,80.0,88.0,118.0,99.0,77.0,88.0,91.0,28.0178514522438,0.7,0
108.0,97.0,80.0,88.0,118.0,99.0,77.0,88.0,91.0,28.0178514522438,0.8,0
108.0,97.0,80.0,88.0,118.0,99.0,77.0,88.0,91.0,28.0178514522438,0.9,0
108.0,97.0,80.0,88.0,118.0,99.0,77.0,88.0,91.0,28.0178514522438,1.0,0
108.0,97.0,80.0,88.0,118.0,99.0,77.0,88.0,91.0,28.0178514522438,1.1,0
107.0,97.0,80.0,88.0,118.0,99.0,77.0,88.0,91.0,28.0178514522438,1.2,0
107.0,98.0,80.0,87.0,118.0,99.0,77.0,88.0,91.0,27.459060435491963,1.3,0
107.0,98.0,80.0,87.0,118.0,99.0,77.0,88.0,91.0,27.459060435491963,1.4,0
107.0,98.0,80.0,87.0,118.0,99.0,77.0,88.0,90.0,27.459060435491963,1.5,0
107.0,98.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,27.80287754891569,1.6,0
107.0,98.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,27.459060435491963,1.7,0
106.0,99.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,26.92582403567252,1.8,0
106.0,99.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,26.92582403567252,1.9,0
106.0,99.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,26.92582403567252,2.0,0
106.0,99.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,26.92582403567252,2.1,0
106.0,99.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,26.92582403567252,2.2,0
106.0,100.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,26.92582403567252,2.3,0
105.0,100.0,81.0,87.0,118.0,99.0,77.0,88.0,90.0,26.419689627245813,2.4,0
105.0,100.0,81.0,87.0,118.0,99.0,77.0,88.0,89.0,26.419689627245813,2.5,0
105.0,100.0,81.0,86.0,118.0,99.0,76.0,89.0,89.0,26.627053911388696,2.6,0
105.0,100.0,81.0,86.0,118.0,99.0,76.0,89.0,89.0,26.627053911388696,2.7,0
105.0,101.0,81.0,86.0,118.0,99.0,76.0,89.0,89.0,26.076809620810597,2.8,0
105.0,101.0,82.0,86.0,118.0,99.0,76.0,89.0,89.0,26.076809620810597,2.9,0
104.0,101.0,82.0,86.0,118.0,99.0,76.0,89.0,89.0,26.076809620810597,3.0,0
104.0,101.0,82.0,86.0,118.0,99.0,76.0,89.0,89.0,26.076809620810597,3.1,0
104.0,101.0,82.0,86.0,118.0,99.0,76.0,89.0,89.0,26.076809620810597,3.2,0
104.0,102.0,82.0,86.0,118.0,99.0,76.0,89.0,89.0,26.076809620810597,3.3,0
104.0,102.0,82.0,86.0,118.0,98.0,76.0,89.0,89.0,25.553864678361276,3.4,0
104.0,102.0,82.0,86.0,118.0,98.0,75.0,89.0,89.0,25.553864678361276,3.5,0
103.0,102.0,82.0,86.0,118.0,98.0,75.0,89.0,89.0,25.059928172283335,3.6,0
103.0,103.0,82.0,86.0,118.0,98.0,75.0,89.0,89.0,25.059928172283335,3.7,0
103.0,103.0,82.0,86.0,118.0,98.0,75.0,89.0,89.0,25.238858928247925,3.8,0
103.0,103.0,82.0,86.0,117.0,97.0,75.0,90.0,89.0,24.698178070456937,3.9,0
103.0,103.0,82.0,86.0,117.0,97.0,74.0,90.0,89.0,24.698178070456937,4.0,0
103.0,104.0,82.0,86.0,118.0,97.0,74.0,90.0,89.0,40.8166632639171,4.1,0
102.0,104.0,82.0,86.0,117.0,96.0,74.0,90.0,90.0,41.677331968349414,4.2,0
102.0,105.0,82.0,86.0,117.0,96.0,73.0,91.0,90.0,40.70626487409524,4.3,0
102.0,105.0,82.0,86.0,117.0,95.0,72.0,91.0,91.0,41.593268686170845,4.4,0
110.0,92.0,79.0,82.0,118.0,119.0,84.0,77.0,85.0,27.294688127912362,4.5,0
109.0,93.0,80.0,82.0,118.0,118.0,84.0,78.0,84.0,27.784887978899608,4.6,0
108.0,94.0,81.0,82.0,118.0,117.0,84.0,79.0,84.0,26.419689627245813,4.7,0
107.0,94.0,81.0,82.0,118.0,116.0,83.0,80.0,83.0,28.600699292150182,4.8,0
106.0,95.0,82.0,82.0,118.0,114.0,83.0,80.0,82.0,29.0,4.9,0
105.0,97.0,82.0,82.0,118.0,112.0,83.0,81.0,82.0,50.99019513592785,5.0,0
105.0,97.0,75.0,84.0,117.0,104.0,67.0,83.0,93.0,24.839484696748443,5.1,0
105.0,97.0,75.0,84.0,117.0,104.0,67.0,83.0,93.0,24.08318915758459,5.2,0
105.0,97.0,75.0,84.0,117.0,104.0,67.0,83.0,93.0,24.08318915758459,5.3,0
105.0,97.0,75.0,84.0,117.0,104.0,67.0,83.0,93.0,24.08318915758459,5.4,0
105.0,97.0,75.0,84.0,117.0,104.0,67.0,83.0,93.0,24.08318915758459,5.5,0
104.0,98.0,75.0,84.0,117.0,104.0,67.0,83.0,93.0,24.08318915758459,5.6,0
104.0,98.0,75.0,84.0,117.0,104.0,67.0,83.0,93.0,24.08318915758459,5.7,0
104.0,98.0,75.0,84.0,117.0,104.0,67.0,83.0,92.0,24.08318915758459,5.8,0
104.0,98.0,75.0,84.0,117.0,104.0,67.0,83.0,92.0,24.08318915758459,5.9,0
104.0,98.0,75.0,84.0,117.0,104.0,67.0,83.0,92.0,23.345235059857504,6.0,0
104.0,98.0,75.0,83.0,117.0,104.0,67.0,84.0,92.0,23.345235059857504,6.1,0
104.0,98.0,75.0,83.0,117.0,104.0,67.0,84.0,92.0,23.345235059857504,6.2,0
104.0,98.0,75.0,83.0,117.0,104.0,67.0,84.0,92.0,23.345235059857504,6.3,0
104.0,98.0,75.0,83.0,117.0,104.0,67.0,84.0,92.0,23.345235059857504,6.4,0
103.0,98.0,75.0,83.0,117.0,104.0,67.0,84.0,92.0,23.345235059857504,6.5,0
103.0,98.0,75.0,83.0,117.0,104.0,67.0,84.0,91.0,23.345235059857504,6.6,0
103.0,98.0,75.0,83.0,117.0,104.0,67.0,84.0,91.0,23.345235059857504,6.7,0
103.0,98.0,75.0,83.0,117.0,104.0,67.0,84.0,91.0,23.345235059857504,6.8,0
103.0,99.0,75.0,83.0,117.0,104.0,67.0,84.0,91.0,23.345235059857504,6.9,0
103.0,99.0,75.0,83.0,117.0,104.0,67.0,84.0,91.0,24.08318915758459,7.0,0
103.0,99.0,75.0,83.0,117.0,104.0,67.0,84.0,91.0,24.08318915758459,7.1,0
103.0,99.0,75.0,83.0,117.0,104.0,67.0,84.0,91.0,24.08318915758459,7.2,0
103.0,99.0,75.0,83.0,117.0,104.0,67.0,84.0,90.0,24.08318915758459,7.3,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,84.0,90.0,24.08318915758459,7.4,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,84.0,90.0,23.345235059857504,7.5,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,84.0,90.0,23.345235059857504,7.6,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,85.0,90.0,23.345235059857504,7.7,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,85.0,90.0,21.095023109728988,7.8,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,85.0,90.0,21.095023109728988,7.9,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,85.0,89.0,21.095023109728988,8.0,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,85.0,89.0,21.095023109728988,8.1,0
102.0,99.0,75.0,83.0,117.0,104.0,67.0,85.0,89.0,21.095023109728988,8.2,0
102.0,100.0,75.0,83.0,117.0,104.0,67.0,85.0,89.0,21.095023109728988,8.3,0
102.0,100.0,75.0,83.0,117.0,104.0,67.0,85.0,89.0,21.095023109728988,8.4,0
101.0,100.0,75.0,83.0,117.0,104.0,67.0,85.0,89.0,21.095023109728988,8.5,0
101.0,100.0,75.0,83.0,117.0,104.0,67.0,85.0,89.0,21.95449840010015,8.6,0
101.0,100.0,75.0,83.0,117.0,104.0,67.0,85.0,89.0,21.95449840010015,8.7,0
101.0,100.0,75.0,83.0,117.0,104.0,67.0,85.0,88.0,22.02271554554524,8.8,0
101.0,100.0,75.0,83.0,117.0,104.0,67.0,85.0,88.0,22.20360331117452,8.9,0
101.0,100.0,75.0,83.0,117.0,104.0,67.0,85.0,88.0,22.20360331117452,9.0,0
101.0,100.0,75.0,83.0,117.0,104.0,68.0,85.0,88.0,22.20360331117452,9.1,0
101.0,100.0,75.0,83.0,117.0,104.0,68.0,85.0,88.0,22.20360331117452,9.2,0
101.0,100.0,75.0,83.0,117.0,104.0,68.0,86.0,88.0,22.20360331117452,9.3,0
101.0,100.0,75.0,83.0,117.0,104.0,68.0,86.0,88.0,22.20360331117452,9.4,0
101.0,100.0,75.0,83.0,117.0,104.0,68.0,86.0,88.0,22.20360331117452,9.5,0
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,87.0,23.345235059857504,9.6,0
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,87.0,22.67156809750927,9.7,0
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,87.0,22.67156809750927,9.8,0
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,87.0,22.67156809750927,9.9,0
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,87.0,22.67156809750927,10.0,1
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,87.0,22.67156809750927,10.1,1
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,87.0,22.67156809750927,10.2,1
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,86.0,22.67156809750927,10.3,1
100.0,101.0,75.0,83.0,117.0,104.0,68.0,86.0,86.0,22.02271554554524,10.4,1
100.0,101.0,75.0,83.0,117.0,103.0,68.0,86.0,86.0,22.02271554554524,10.5,1
100.0,101.0,75.0,83.0,117.0,103.0,68.0,86.0,86.0,22.02271554554524,10.6,1
100.0,101.0,75.0,83.0,117.0,103.0,68.0,86.0,86.0,22.02271554554524,10.7,1
100.0,101.0,75.0,83.0,117.0,103.0,68.0,86.0,86.0,22.02271554554524,10.8,1
99.0,101.0,75.0,83.0,117.0,103.0,68.0,87.0,86.0,22.02271554554524,10.9,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,86.0,22.02271554554524,11.0,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,85.0,21.633307652783937,11.1,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,85.0,21.633307652783937,11.2,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,85.0,21.633307652783937,11.3,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,85.0,21.633307652783937,11.4,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,85.0,21.633307652783937,11.5,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,85.0,21.633307652783937,11.6,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,85.0,21.95449840010015,11.7,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,85.0,21.95449840010015,11.8,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,84.0,21.95449840010015,11.9,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,84.0,21.470910553583888,12.0,1
99.0,102.0,76.0,83.0,117.0,103.0,68.0,87.0,84.0,21.470910553583888,12.1,1
99.0,102.0,76.0,82.0,117.0,103.0,68.0,87.0,84.0,21.470910553583888,12.2,1
99.0,102.0,76.0,82.0,117.0,103.0,68.0,87.0,84.0,21.470910553583888,12.3,1
99.0,102.0,76.0,82.0,116.0,103.0,68.0,87.0,84.0,21.470910553583888,12.4,1
98.0,103.0,76.0,82.0,117.0,103.0,68.0,87.0,84.0,21.470910553583888,12.5,1
98.0,103.0,76.0,82.0,117.0,103.0,68.0,88.0,84.0,21.470910553583888,12.6,1
98.0,103.0,76.0,82.0,116.0,103.0,68.0,88.0,83.0,21.470910553583888,12.7,1
98.0,103.0,76.0,82.0,116.0,103.0,68.0,88.0,83.0,22.20360331117452,12.8,1
98.0,103.0,76.0,82.0,116.0,103.0,68.0,88.0,83.0,22.20360331117452,12.9,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,83.0,21.633307652783937,13.0,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,83.0,21.633307652783937,13.1,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,83.0,21.633307652783937,13.2,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,83.0,21.470910553583888,13.3,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,83.0,21.470910553583888,13.4,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,82.0,21.470910553583888,13.5,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,82.0,21.470910553583888,13.6,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,82.0,21.470910553583888,13.7,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,82.0,21.470910553583888,13.8,1
98.0,103.0,76.0,82.0,116.0,103.0,69.0,88.0,82.0,21.470910553583888,13.9,1
98.0,103.0,76.0,82.0,116.0,102.0,69.0,88.0,82.0,21.470910553583888,14.0,1
98.0,104.0,76.0,82.0,116.0,102.0,69.0,88.0,82.0,21.02379604162864,14.1,1
98.0,104.0,76.0,82.0,116.0,102.0,69.0,88.0,82.0,21.02379604162864,14.2,1
98.0,104.0,76.0,82.0,116.0,102.0,69.0,88.0,81.0,21.02379604162864,14.3,1
98.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,81.0,21.02379604162864,14.4,1
98.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,81.0,21.02379604162864,14.5,1
98.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,81.0,21.02379604162864,14.6,1
98.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,81.0,21.02379604162864,14.7,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,81.0,21.02379604162864,14.8,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,81.0,21.02379604162864,14.9,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,81.0,21.02379604162864,15.0,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,80.0,21.02379604162864,15.1,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,80.0,20.615528128088304,15.2,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,80.0,20.615528128088304,15.3,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,80.0,20.615528128088304,15.4,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,80.0,20.615528128088304,15.5,1
97.0,104.0,76.0,82.0,116.0,102.0,69.0,89.0,80.0,20.615528128088304,15.6,1
97.0,105.0,76.0,82.0,116.0,102.0,69.0,89.0,80.0,20.615528128088304,15.7,1
97.0,105.0,76.0,82.0,116.0,102.0,70.0,89.0,80.0,20.615528128088304,15.8,1
97.0,105.0,76.0,82.0,116.0,102.0,70.0,89.0,80.0,20.615528128088304,15.9,1
97.0,105.0,76.0,82.0,115.0,102.0,70.0,89.0,79.0,20.615528128088304,16.0,1
97.0,105.0,76.0,82.0,115.0,102.0,70.0,90.0,79.0,20.615528128088304,16.1,1
97.0,105.0,76.0,82.0,115.0,102.0,70.0,90.0,79.0,20.615528128088304,16.2,1
97.0,105.0,76.0,82.0,115.0,101.0,70.0,90.0,79.0,20.248456731316587,16.3,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,79.0,20.248456731316587,16.4,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,79.0,20.248456731316587,16.5,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,79.0,20.248456731316587,16.6,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,79.0,20.248456731316587,16.7,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,48.84669896727925,16.8,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,48.84669896727925,16.9,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,48.84669896727925,17.0,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,48.84669896727925,17.1,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,45.69463863518345,17.2,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,48.84669896727925,17.3,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,45.69463863518345,17.4,1
97.0,105.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,45.69463863518345,17.5,1
97.0,106.0,76.0,81.0,115.0,101.0,70.0,90.0,78.0,45.69463863518345,17.6,1
97.0,106.0,76.0,81.0,115.0,101.0,70.0,90.0,77.0,45.69463863518345,17.7,1
97.0,106.0,76.0,81.0,115.0,101.0,70.0,90.0,77.0,45.69463863518345,17.8,1
91.0,104.0,79.0,80.0,107.0,99.0,64.0,90.0,84.0,19.849433241279208,17.9,1
91.0,104.0,79.0,80.0,107.0,99.0,64.0,90.0,84.0,19.849433241279208,18.0,1
91.0,104.0,79.0,80.0,107.0,98.0,64.0,90.0,84.0,19.849433241279208,18.1,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,84.0,49.24428900898052,18.2,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,84.0,49.24428900898052,18.3,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,84.0,49.24428900898052,18.4,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,84.0,48.33218389437829,18.5,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,84.0,48.33218389437829,18.6,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,83.0,48.33218389437829,18.7,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,83.0,45.18849411078001,18.8,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,83.0,46.09772228646444,18.9,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,83.0,45.18849411078001,19.0,1
91.0,104.0,79.0,80.0,107.0,98.0,65.0,91.0,83.0,46.09772228646444,19.1,1
91.0,104.0,79.0,80.0,107.0,97.0,65.0,91.0,83.0,46.09772228646444,19.2,1
91.0,104.0,79.0,80.0,107.0,97.0,65.0,91.0,83.0,46.09772228646444,19.3,1
91.0,104.0,79.0,80.0,107.0,97.0,65.0,91.0,83.0,46.09772228646444,19.4,1
91.0,104.0,79.0,80.0,107.0,97.0,65.0,91.0,83.0,46.09772228646444,19.5,1
91.0,104.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,19.6,1
91.0,104.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,19.7,1
91.0,104.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,19.8,1
91.0,105.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,19.9,1
91.0,105.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,20.0,2
91.0,105.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,20.1,2
91.0,105.0,79.0,80.0,106.0,96.0,65.0,91.0,82.0,46.09772228646444,20.2,2
91.0,105.0,79.0,80.0,106.0,96.0,65.0,92.0,82.0,46.09772228646444,20.3,2
